Is Captain(1=yes),Is Wktkeeper(1=Yes),Nationality(1=Overseas),Name,Team,IPL 4 Franchise,Player cost USD,matches,innings played,no,runs scored,highest score,Is star batsman,Is batsman,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,stumping made,Is bowler?,Number of balls bowled,runs given,Is star bowler,wkts taken,Bowling average,Bowling econ,sr,4w,5w,Retained,matches_bat_ipl,total_runs_scored_ipl,balls_faced_ipl,batting_avg_ipl,highest_score_ipl,strike_rate_ipl,centuries_ipl,half_centuries_ipl,fours_ipl,sixes_ipl,matches_bowl_ipl,balls_bowled_ipl,total_runs_given_ipl,wickets_taken_ipl,bowling_avg_ipl,economy_ipl,3wickets_ipl
0.0,0.0,1,Dwayne Bravo,West Indies,Chennai Super Kings,200000.0,87.0,72.0,17.0,1317.0,70,0.0,1.0,23.94,1035.0,127.24,0.0,8.0,97.0,57.0,0.4482758620689655,39.0,0.0,1.0,1546.0,2123.0,0.0,82.0,25.89,8.23,18.8,2.0,0.0,0,8.0,61.0,53.0,7.625,23.0,115.38938492063492,0.0,0.0,3.0,4.0,10.0,162.0,223.0,5.0,22.3,7.977058029689608,0.0
0.0,0.0,1,Owais Shah,England,Kochi,200000.0,115.0,109.0,22.0,2842.0,80,1.0,1.0,32.66,2196.0,129.41,0.0,15.0,227.0,117.0,0.3391304347826087,39.0,0.0,0.0,51.0,69.0,0.0,5.0,13.8,8.11,10.2,0.0,0.0,0,5.0,115.0,96.0,23.0,58.0,106.28502415458937,0.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Scott Styris,New Zealand,Chennai Super Kings,200000.0,120.0,112.0,13.0,2481.0,106,0.0,1.0,25.06,1878.0,132.1,1.0,9.0,167.0,118.0,0.25833333333333336,31.0,0.0,1.0,1874.0,2354.0,0.0,88.0,26.75,7.53,21.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Steven Smith,Australia,Kochi,200000.0,41.0,32.0,8.0,417.0,35,0.0,1.0,17.37,350.0,119.14,0.0,0.0,37.0,8.0,0.5609756097560976,23.0,0.0,1.0,582.0,719.0,0.0,42.0,17.11,7.41,13.8,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,Ajit Agarkar,India,Delhi Daredevils,210000.0,48.0,27.0,12.0,229.0,39,0.0,0.0,15.26,182.0,125.82,0.0,0.0,18.0,6.0,0.08333333333333333,4.0,0.0,1.0,912.0,1263.0,0.0,40.0,31.57,8.3,22.8,0.0,0.0,0,4.0,40.0,30.0,10.0,17.0,139.12087912087912,0.0,0.0,4.0,0.0,7.0,136.0,199.0,4.0,28.42857142857143,8.924542124542125,0.0
0.0,0.0,0,Sudeep Tyagi,India,Chennai Super Kings,240000.0,14.0,2.0,1.0,2.0,2,0.0,0.0,2.0,7.0,28.57,0.0,0.0,0.0,0.0,0.21428571428571427,3.0,0.0,1.0,258.0,320.0,0.0,20.0,16.0,7.44,12.9,0.0,0.0,0,1.0,3.0,4.0,3.0,3.0,75.0,0.0,0.0,0.0,0.0,6.0,102.0,152.0,1.0,25.33333333333333,9.989230769230767,0.0
0.0,0.0,0,Jaidev Unadkat,India,Kolkata Knight Riders,250000.0,14.0,2.0,1.0,2.0,2,0.0,0.0,2.0,7.0,28.57,0.0,0.0,0.0,0.0,0.21428571428571427,3.0,0.0,1.0,258.0,320.0,0.0,20.0,16.0,7.44,12.9,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,85.0,4.0,28.33333333333333,8.988095238095239,1.0
0.0,0.0,1,Paul Collingwood,England,Rajasthan Royals,250000.0,67.0,58.0,5.0,973.0,79,0.0,1.0,18.35,803.0,121.17,0.0,6.0,61.0,41.0,0.31343283582089554,21.0,0.0,1.0,625.0,736.0,0.0,52.0,14.15,7.06,12.0,3.0,2.0,0,7.0,203.0,159.0,29.0,75.0,107.5176519560488,0.0,3.0,9.0,13.0,6.0,90.0,100.0,5.0,16.666666666666668,6.979059829059827,0.0
0.0,1.0,0,Naman Ojha,India,Delhi Daredevils,270000.0,53.0,53.0,5.0,1016.0,94,0.0,1.0,21.16,867.0,117.18,0.0,5.0,95.0,53.0,0.5660377358490566,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.0,377.0,294.0,26.92857142857143,94.0,107.7093229636352,0.0,2.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1,Tim Paine,Australia,Pune Warriors,270000.0,26.0,22.0,0.0,379.0,71,0.0,1.0,17.22,280.0,135.35,0.0,2.0,32.0,15.0,0.6923076923076923,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0,Manpreet Gony,India,Deccan Chargers,290000.0,39.0,18.0,7.0,152.0,34,0.0,0.0,13.81,106.0,143.39,0.0,0.0,8.0,10.0,0.1282051282051282,5.0,0.0,1.0,785.0,1014.0,0.0,39.0,26.0,7.75,20.1,1.0,0.0,0,1.0,2.0,7.0,2.0,2.0,28.57142857142857,0.0,0.0,0.0,0.0,3.0,51.0,89.0,1.0,29.66666666666667,10.428571428571429,0.0
0.0,1.0,0,Parthiv Patel,India,Kochi,290000.0,58.0,56.0,5.0,1028.0,57,0.0,1.0,20.15,947.0,108.55,0.0,4.0,135.0,14.0,0.4310344827586207,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,72.0,83.0,18.0,57.0,68.89652014652015,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Aaron Finch,Australia,Delhi Daredevils,300000.0,30.0,27.0,5.0,824.0,93,0.0,1.0,37.45,625.0,131.84,0.0,6.0,76.0,29.0,0.4666666666666667,14.0,0.0,0.0,19.0,18.0,0.0,0.0,0.0,5.68,0.0,0.0,0.0,0,1.0,21.0,21.0,21.0,21.0,100.0,0.0,0.0,0.0,1.0,1.0,7.0,5.0,0.0,5.0,4.285714285714286,0.0
0.0,0.0,0,Amit Mishra,India,Deccan Chargers,300000.0,67.0,39.0,14.0,402.0,49,0.0,1.0,16.08,360.0,111.66,0.0,0.0,43.0,4.0,0.2388059701492537,16.0,0.0,1.0,1495.0,1697.0,1.0,93.0,18.24,6.81,16.0,1.0,2.0,0,7.0,39.0,54.0,5.571428571428571,12.0,74.36974789915966,0.0,0.0,1.0,0.0,14.0,329.0,352.0,20.0,25.142857142857146,6.425506485995207,2.0
0.0,0.0,1,Callum Ferguson,Australia,Pune Warriors,300000.0,34.0,31.0,5.0,566.0,71,0.0,1.0,21.76,470.0,120.42,0.0,3.0,51.0,10.0,0.5294117647058824,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,JP Duminy,South Africa,Deccan Chargers,300000.0,100.0,96.0,22.0,2415.0,99,1.0,1.0,32.63,2014.0,119.91,0.0,16.0,194.0,75.0,0.33,33.0,0.0,1.0,517.0,652.0,0.0,27.0,24.14,7.56,19.1,1.0,0.0,0,7.0,157.0,134.0,22.428571428571423,42.0,115.25233382505877,0.0,0.0,13.0,5.0,2.0,33.0,37.0,1.0,18.5,6.9,0.0
0.0,0.0,1,Shaun Tait,Australia,Rajasthan Royals,300000.0,62.0,20.0,7.0,87.0,14,0.0,0.0,6.69,114.0,76.31,0.0,0.0,4.0,4.0,0.2419354838709677,15.0,0.0,1.0,1368.0,1751.0,1.0,87.0,20.12,7.67,15.7,1.0,0.0,0,2.0,12.0,13.0,6.0,11.0,95.83333333333331,0.0,0.0,0.0,1.0,8.0,205.0,236.0,12.0,29.5,6.922200854700855,2.0
0.0,0.0,0,Shikhar Dhawan,India,Deccan Chargers,300000.0,59.0,58.0,8.0,1411.0,95,0.0,1.0,28.22,1233.0,114.43,0.0,10.0,151.0,26.0,0.4576271186440678,27.0,0.0,0.0,12.0,11.0,0.0,1.0,11.0,5.5,12.0,0.0,0.0,0,10.0,191.0,180.0,19.1,56.0,87.5822713322713,0.0,2.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1,Brad Haddin,Australia,Kolkata Knight Riders,325000.0,36.0,34.0,4.0,576.0,54,0.0,1.0,19.2,503.0,114.51,0.0,2.0,44.0,17.0,0.5833333333333334,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,Ryan Harris,Australia,Kings XI Punjab,325000.0,51.0,29.0,11.0,179.0,31,0.0,0.0,9.94,180.0,99.44,0.0,0.0,7.0,5.0,0.392156862745098,20.0,0.0,1.0,1117.0,1392.0,0.0,66.0,21.09,7.47,16.9,0.0,0.0,0,5.0,45.0,39.0,9.0,15.0,108.38888888888887,0.0,0.0,2.0,2.0,8.0,195.0,216.0,15.0,27.0,6.5801450742240215,3.0
0.0,0.0,1,Eoin Morgan,England,Kolkata Knight Riders,350000.0,79.0,72.0,11.0,1584.0,85,0.0,1.0,25.96,1223.0,129.51,0.0,7.0,144.0,55.0,0.4177215189873418,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.0,35.0,31.0,8.75,17.0,101.48809523809523,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1,James Hopes,Australia,Delhi Daredevils,350000.0,60.0,52.0,8.0,1151.0,71,0.0,1.0,26.15,886.0,129.9,0.0,10.0,132.0,21.0,0.26666666666666666,16.0,0.0,1.0,1065.0,1499.0,0.0,43.0,34.86,8.44,24.7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
